CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-040481	838950	DW	Investigation of Eye Irritation in the Atmosphere Of USS Snook (SS(N)592) -- Trip Report.	Johnson, J. E. Christian, J. G. Field, D. E. Murphy, C. M., Jr. Smith, J. E.	NRL-MR-1248	1961-11-01	NAVAL RESEARCH LAB WASHINGTON DC	Distribution limited to US Gov't agencies only; Administrative/Operational Use; Nov 61.	U
CB-040515	833796	DT DW 500500	CW 562, M3 and M4 Irritant Gas Dispersion Trials.		DPG TRIAL RECORD-307	1961-04-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jul 1971. Other	U
CB-040544	827549	CB DT DW 500057	Comparative Engineering Testing of Grenades, Hand, Riot, CS-Filled, M7A1, M7A2, and M7A2-Modified.		DPG-TR-295	1961-12-01	DUGWAY PROVING GROUND UTAH	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-040545	827548	CB DT DW 500077	Special Engineering Handling Test of Welded 8-inch GB and VX T174 Projectile.		DPG-TR-276	1961-06-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies and their contractors; NO FORN. Other requests	U
CB-040713	802705	CB DT DW 519883	Meeting on Use Concepts and Developmental Approaches for Detection Kits for Toxic Agents in Food and	Gamson, Robert M. Kramer, David N.	CRDL-TM-32-65	1961-01-31	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies only; Proprietary Information; Jul 1972. Other	U
CB-041563	596116	CB DT DW 500484	C 545, Dissemination Trials of Agent EA2277.		DPG-TR-318	1961-11-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; Dec 1977. Other	U
CB-041564	596114	CB DT DW 500167	Biological Field Evaluation of a Hvar Transported Experimental Nozzle System, Trials A-1 Through A-13.		DPG-TR-313	1961-06-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 77. Other	U
CB-041565	596110	CB DT DW 500499	Development Trials (Dynamic Air Burst) of the T238 115-MM Rocket.		DPG-TR-306	1961-03-01	DUGWAY PROVING GROUND UTAH	Distribution limited to US Gov't agencies only; Test and Evaluation; Dec 77. Other	U
CB-041603	596049	CB DT DW 500131 EDG E497824	Summary and Evaluation of Elevated Line Source Aerosols of Particulates in the 5-Micron or Smaller Size		DPGR-286 DPG-61-0635 CRDL-61-S-469 CRDL-TL-61-S-1366	1961-03-01	ARMY DUGWAY PROVING GROUND UT	Distribution authorized to US Gov't agencies only; Test and Evaluation; 1 Feb 1977. Other	C
CB-041604	596047	CB DT DW 500098	Final Engineering Testing of the E22 Portable Generator.		DPG-R-270	1961-02-01	ARMY DUGWAY PROVING GROUND UT	Distribution authorized to US Gov't agencies only; Test and Evaluation; 1 Feb 1977. Other	U
CB-041675	514235	CB DT DW 523733	Evaporation of GF Microdrops in Air. Technical Memorandum No. 14-12, February-April 1961.	Kracke, Robert D. Lewis, Helen M.	CRDL-TM-14-12 DPG-61-1026	1961-04-14	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution authorized to DoD agencies only. Other requests for this document shall be	C
CB-041707	502670	CB DT DW 500513	C 574, Phases A and B, Development Comparison Trials of the M121 155-MM Howitzer Shell, V-Filled,		DPG-TRIAL RECORD-316	1961-12-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 22 Mar 78. Other	U
CB-041708	502669	CB DT DW 500498	CW 453, Phases F and G, Burster Material and Shell Comparison Trials, XM (DIVSAW) and M121 155-MM		DPG-TRIAL RECORD-305	1961-02-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 22 Mar 1978. Other	U
CB-041709	502668	DT	CW 454, Phases A through D, Burster Material Comparison Trials of the M121 155-mm Howitzer Shell.		DPG-TR-304	1961-03-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-042884	491343	CB DT DW 518745	Effect of High PH and Certain Cations on Skin Penetration by VX.	Roberts, Billy G. Vocci, Frank Lisle, Charles Lindsey, Douglas	CRDLR-3072	1961-06-28	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to US Gov't agencies and their contractors;	U
CB-043566	455990	CB DT DW 527952 EDG E506458	Research Study on the Dissemination of Solid and Liquid Agents. Bimonthly Progress Report, September-	Andersen, W. H. Owe Berg, T. G. Brown, R. E. Garner, N. R. Lane, T. C. MacLean. R. O'Donovan, P.	0395-02-09BP	1961-11-15	AEROJET-GENERAL CORP DOWNEY CA ORDNANCE DIV	Distribution limited to DoD agencies only.	U
CB-043751	445446	CB DT DW	Design Specification for Clothing Outfit, Toxic Gas Protective A/P 22P-1.			1961-09-01	MARTIN CO DENVER COLO	Distribution limited to US Gov't agencies and their contractors;	U
CB-043856	439917	CB DT DW 546672	Technical Analysis Study on Protective Compounds.		ACCEC-6850-0035	1961-08-22	ARMY CHEMICAL CORPS ENGINEERING COMMAND ARMY CHEMICAL CENTER	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-044461	396343	CB DT DW 537418	Report on Project Brake Phase II.	Huggler, Edward H. Renn, Wade A. Sherman, Richard U., Jr. Tiller, Richard E. Alexander, Michael N.		1961-02-01	RESEARCH ANALYSIS CORP MCLEAN VA	Unlimited National Defense Information; Authorized Transmission Only.	S
CB-044485	390819	CB DT DW 500532	Source Strength Determinations and Downwind Travel Studies with OU-2 Simulant, Phase B, Trials 5-11,		DPG-TR-317	1961-08-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1977. Other	U
CB-044538	381951	CB DT DW 536740	Project Wasp Evaluation Report. Volume 2, Detailed Evaluation of Seminar Data.		CAL-GM-1494-G-6	1961-09-01	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to US Gov't agencies and their contractors; NOFORN. Other requests	C
CB-044560	379550	CB DT DW 535669	A Method for the Determination of EA 2277 in Human Urine.	Amoroso, Anthony J. Kramer, Bernard	CRDL-TM-22-15 DPG-61-2810 CRDL-61-S-1060	1961-11-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Unlimited National Defense Information; Authorized Transmission Only.	C
CB-044609	377977	CB DT DW 501197 EDG E495491	Final Engineering Testing of the E-134 Bomblet.	Kendall, Reginald	DPG-TP-514-A-PT-1 DPG-61-0675	1961-02-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-044633	377322	CB DT DW 523793	Theoretical Two-Dimensional Trajectory Study for the E130R2 Bomblet.	Reches, Mark	CRDL-TM-30-64	1961-03-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Unlimited National Defense Information; Authorized Transmission Only.	C
CB-045204	359201	CB DT DW 524262	Weteye Program.	Leese, T. M. Biggs, L. M. Jenkins, M. H.	TPR-270 NOTS-TP-2779	1961-09-18	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to US Gov't agencies only; Administrative/Operational Use; 18 Sep	C
CB-045303	356531	CB DT DW 531034	VX Warhead Development Program.	Mills, R. R., Jr. Monson, F. A. Schroeder, F. J.	ER-2130X	1961-09-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution limited to US Gov't agencies and their contractors.	C
CB-045413	353932	CB DT DW 531036	VX Warhead Development Program. Bimonthly Progress Report No. 4, 2 September-1 November 1961.	Schroeder, R. J. Strickland, R. G. Zelina, R. S.	ER-2130-11 BPR-4	1961-11-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Further dissemination only as directed by Army Chemical Research and Development	U
CB-045414	353930	CB DT DW 531033	CW Warhead Development Program.	Hyman, N. L. Young, R. B. Schroeder, F. J. Zelina, R. S.	ER-21309	1961-07-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-045749	343303	CB DT DW 514467	Project Scorpion. Volume 3. Information for R and D Guidance.		SU-61-SR-11	1961-05-01	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-045750	343301	CB DT DW 35622	Project Scorpion. Volume 2. Detailed Description.		SU61SR12 61-FDS-996	1961-05-01	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution Controlled. All requests for this document shall be referred to Chemical	C
CB-045758	343125	CB DT DW 524288	Limited War Operations. TFSP -- Analysis Task 47514. Volume XVIII. Biological and Chemical Warfare in	Sklarsky, Sadie Gould, Floyd J.	LAS-TR-306-27-VOL-18	1961-12-01	CHICAGO UNIV IL LABS FOR APPLIED SCIENCES	Further dissemination only as directed by Aeronautical Systems Division, Wright-	S/REL TO CANUKUS
CB-045762	343005	CB DT DW 508943	Technical Report DPGR 248 Final Engineering Testing of the E19R1 GB Warhead For the Honest John		DPG-R-248-VOL-2 DPG-TR-248	1961-03-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies and their contractors; No Foreign. This	U
CB-045793	341456	CB DT DW 501424	Chemical and Biological Warfare in the US Navy. Volume 2.		ONR-ACR-NAR-24 DPG-61-2159	1961-05-01	OFFICE OF NAVAL RESEARCH ARLINGTON VA	Further dissemination only as directed by Office of Naval Research Laboratory, Attn:	S/NOFORN/WNINTEL
CB-045794	341455	CB DT DW 501423	Chemical and Biological Warfare in the US Navy. Volume 1.		ACR-NAR-24	1961-05-01	OFFICE OF NAVAL RESEARCH ARLINGTON VA	Further dissemination only as directed by Office of Naval Research, Arlington, VA 22217,	S
CB-046158	330007	CB DT DW 501057 DW 522369	The Pick-up of Liquid by Contact with Contaminated Terrain.	Fish, H. J. Mayhood, J. E.	SR-202	1961-08-04	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-046178	329715	CB DT DW 504745 EDG E504912	Development of a Missile Warhead. Monthly Progress Report, March 1961.	Houck, C. A. Clemence, F. W.	AGC-0166-01-24	1961-04-18	AEROJET-GENERAL CORP DOWNEY CA	Distribution limited to DoD agencies only.	C
CB-046190	329505	CB DT DW 521993	Annual Report, 1 Janauary-31 December 1961.		SP-23	1961-12-01	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution authorized to US Gov't agencies and their contractors; Foreign Government	C
CB-046198	329343	CB DT DW 37231	Aerosol Stability and Respiratory Virulence of Dried Venezuelan Equine Encephalomyelitis Virus. Technical	Day, William C. Pirsch, Gerda W. Bailey, Ruth R. McDermott, Eugene P.	BL-TM-9-30 DTC-72-898 IS-64-6-176 62-FDS-1048	1961-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to DoD agencies only.	C
CB-046210	329171	CB DT DW 537821	Proceedings of the Project Wasp Seminar Conducted by US Army Chemical Corps and US Continental Army		SU-61-SR-13	1961-06-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to US Gov't agencies and their contractors.	C
CB-046212	329114	CB DT DW 46294	Project Summit. Final Report, 1 July 1958-30 June 1961.	Sandford, James E. Steadman, Frank M.	SU-62SR20	1961-12-01	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution Controlled. All requests for this document shall be referred to Army Chemical	C
CB-046213	329113	CB DT DW 524165	An Appraisal of Biological and Chemical Warfare Protection in the US Field Army. Project Summit.			1961-06-01	BOOZ-ALLEN APPLIED RESEARCH INC CHICAGO IL	Distribution limited to US Gov't agencies and their contractors.	C
CB-046214	329112	CB DT DW 37281	Project Summit. Final Report, 1 July 1958-30 June 1961.		SU-61SR13 DTC-71-808 61-FDS-1112	1961-07-30	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution Controlled. All requests for this document shall be referred to Army Chemical	C
CB-046215	329111	CB DT DW 37282	Project Wasp Evaluation Report. Volume 3. Agents.		DTC-72-1278 61-FDS-1300	1961-08-15	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution limited to DoD agencies only.	C
CB-046216	329110	CB DT DW 44009	Potential Psychopolitical Effects of using B/C Weapons in Three Designated Areas.		DTC-72-45 62-FDS-2191	1961-12-01	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution authorized to DoD agencies only.	C
CB-046220	329019	CB DT DW 501033	Title Classified.	Biscoe, T. J.	PTP-779	1961-07-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD and US DoD contractors; Foreign Government Information;	C
CB-046234	328772	CB DT DW 537455	The Renal Excretion of 2-Hydroxyiminomethyl N-Methylpyridinium Methanesulphonate (P2S) and the Effect	Creasey, N. H. Rutland, J. P.	PTP-789	1961-09-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD and US DoD contractors; Foreign Government Information.	C
CB-046238	328687	CB DT DW 501428 EDG E505761	Nonlethal BW/CW Weapon Systems. Volume 8. Operations and Systems Analyses.		MSD-251-950-8-345 61WWR-3209 CRDL-61-S-623 CRDL-TL-61-S-939 CRDL-TL-61-S-983	1961-06-01	REPUBLIC AVIATION CORP MINEOLA NY	Distribution Controlled. All requests for this document shall be referred to Wright Air	C
CB-046239	328685	CB DT DW 501427	Nonlethal BW/CW Weapon Systems. Volume 6. Carrier Vehicle Studies.		MSD-25-950-6-345	1961-06-01	REPUBLIC AVIATION CORP NEW YORK	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-046240	328684	CB DT DW 501426	Nonlethal BW/CW Weapon System. Volume 5. Nonlethal CW Agent Studies.		MSD-251-950-5-345	1961-06-01	REPUBLIC AVIATION CORP MINEOLA NY	Distribution Controlled. All requests for this document shall be referred to US Army	C
CB-046241	328682	CB DT DW 501425 EDG E505800	Nonlethal BW/CW Weapon Systems. Volume 3. Agent Studies -- General.		MSD-251-950-3-345 61WWR-3209 61-FDS-812-1	1961-06-01	REPUBLIC AVIATION CORP MINEOLA NY	Distribution limited to DoD agencies only. Other requests for this document shall be	C
CB-046242	328681	CB DT DW 524120 EDG E505759	Nonlethal BW/CW Weapon Systems. Volume 2. Preliminary Operations Analyses.		MSD-251-950-2-345	1961-06-01	REPUBLIC AVIATION CORP NEW YORK	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-046243	328680	CB DT DW 501430	Nonlethal BW/CW Weapon Systems. Volume 1. Final Analysis, Results, and Conclusions.		MSD-251-950-1-345	1961-06-01	REPUBLIC AVIATION CORP NEW YORK	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-046244	328679	DT DW	SR-17516 Non-Lethal BW/CW Weapon System Study.			1961-06-01	GENERAL DYNAMICS CORP FORT WORTH TX	Distribution limited to US Gov't agencies and their contractors.	S
CB-046245	328678	CB DT DW EDG E505243	SR-17516 Non-Lethal BW/CW Weapon System Study -- Volume 2.		FZM-2289	1961-06-01	GENERAL DYNAMICS CORP FORT WORTH TX	Distribution limited to US Gov't agencies and their contractors.	S
CB-046248	328675	DT DW	Non-Lethal BW/CW Study. Volume 9. Scheduling and Production.			1961-06-01	MARTIN CO ORLANDO FL	Distribution limited to US Gov't agencies and their contractors.	S
CB-046249	328674	CB DT DW	Non-lethal BW/CW Study. Volume 8. Analysis of Anti-crop and Anti-animal Agents.		OR-1649-VOL-8	1961-06-01	MARTIN CO ORLANDO FL	Distribution limited to US Gov't agencies and their contractors.	S
CB-046250	328673	CB DT DW 508362 EDG E505248	Non-lethal BW/CW Study. Volume 7. Final CW Agent Selection.			1961-06-01	MARTIN CO ORLANDO FL	Distribution limited to US Gov't agencies and their contractors.	S
CB-046251	328669	CB DT DW	Non-Lethal BW/CW Study. Volume III. Carrier Systems.			1961-06-01	MARTIN CO ORLANDO FL	Distribution limited to US Gov't agencies and their contractors.	S
CB-046252	328667	DT DW	Non-Lethal BW/CW Study. Volume 1. Summary.			1961-06-01	MARTIN CO ORLANDO FL	Distribution limited to US Gov't agencies and their contractors.	S
CB-046255	328622	CB DT DW 535643	Title Classified.	Ingram, R. R., Jr. McHugh, R. F., Jr.		1961-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	S
CB-046283	327915	CB DT DW 524124	Parameter Estimation Studies for Caramu Diffusion Model.	Cleveland, Paul R.		1961-12-31	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution limited to US Gov't agencies and their contractors.	U
CB-046285	327870	CB DT DW 524125	War Potential of V-Agents.			1961-12-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to US Gov't agencies only; Foreign Government Information; Dec 61.	S
CB-046288	327842	CB DT DW 507672	Long Endurance Multi-Purpose Airborne Drone System AN/USD-5 (XE-2).	Ingram, J. W.	R280-107	1961-12-08	FAIRCHILD STRATOS CORP HAGERSTOWN MD AIRCRAFT-MISSILES DIV	Distribution limited to US Gov't agencies only.	U
CB-046289	327793	CB DT DW 503821	An Evaluation of the Capability of Two 1000 CFM Units to Protect and Ventilate the Citadel of a Destroyer	McDermot, H. L. Ruddell, P. A.		1961-11-01	DEFENCE CHEMICAL BIOLOGICAL AND RADIATION LABS OTTAWA (ONTARIO)	Distribution limited to US Gov't agencies and their contractors; Foreign Government	C
CB-046290	327791	CB DT DW 522366	The Protection against Bacterial Aerosols Afforded a Destroyer Escort by a Combined Positive	Fish, H. J.	SR-204	1961-12-28	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution Controlled. All requests for this document shall be referred to The Canadian	C
CB-046292	327741	CB DT DW 501022	A Review of the Present Position in Meteorological Research Concerning CW and BW Problems.	Pasquill, F.	PTP-791	1961-09-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD and US DoD contractors; Foreign Government Information;	S
CB-046294	327731	CB DT DW 501053	The Synthesis of High Radioactive N, N-dibutylphosphorodiamidic Fluoride Containing P32 as Tracer	Kavanagh, K. R. Hicken, R. P.	TN-66	1961-11-01	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution limited to US Gov't agencies and their contractors; Foreign Government	R
CB-046307	327387	CB DT DW 531645	Quarterly Report No. 6, 22 September-21 December 1961. Impregnation and Permeability Studies on CW			1961-12-01	HARRIS RESEARCH LABS INC WASHINGTON DC	Distribution authorized to US Gov't agencies and their contractors.	U
CB-046308	327381	CB DT DW 501075	Morphological Changes in the Brain of M. Mulatta Treated for VX Poisoning with Atropine, Metaraminol	Thornton, K. R. Fukuyama, G. S.	SP-228	1961-11-01	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution limited to US Gov't agencies and their contractors; Foreign Government	R
CB-046309	327358	CB DT DW 535641	Evaluation of Two Types of Antipersonnel Mines against the US Army Combat Boot.	Stewart, George M. Beyer, James C. Hawkins, Clarence E.		1961-11-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	C
